?H(DOI),?L(DOI),Cell_area_measured,Cell_architecture,Substrate_stack_sequence,Perovskite_band_gap,Voc,Jsc,FF,PCE
0.2,0.4,0.1,nip,A,1.6,1.02,18.2,0.49,9.06
0.2,0.33,0.1,nip,A,1.6,1.05,19.8,0.6,12.5
0.2,0.33,0.1,nip,A,1.6,1.07,19.7,0.54,11.3
0.08,0.33,0.1,pin,H,1.53,0.95,17.88,0.73,12.42
0.2,0.33,0.1,pin,H,1.53,1.01,19.42,0.733,14.38
0.4,0.33,0.1,pin,H,1.53,0.93,19.21,0.75,13.45
0.5,0.3,1,pin,B,1.53,1.04,22.43,0.81,19.08
0.5,0.3,1,pin,B,1.53,1.08,22.47,0.81,19.66
0.2,0.33,0.05,nip,E,1.5,1.06,22.33,0.78,18.41
0.2,0.33,0.05,nip,E,1.5,1.05,22.31,0.78,18.29
0.2,0.43,0.05,nip,E,1.5,0.96,21.71,0.75,15.76
0.2,0.43,0.05,nip,E,1.5,0.92,20.83,0.71,15.16
0.2,0.6,0.06,pin,A,1.53,1.05,21.3,0.75,16.9
0.17,0.6,0.06,pin,A,1.53,1.09,22.6,0.77,18.9
0.14,0.1,0.1,pin,A,1.5,1.064,19.41,0.72,15.08
0.14,0.1,0.1,pin,A,1.5,1.084,18.24,0.68,13.67
0.14,0.08,0.1,pin,A,1.5,1.03,18.78,0.66,12.93
0.14,0.08,0.1,pin,A,1.5,1.05,18.97,0.7,14.14
0.23,0.35,0.08,pin,C,1.58,0.99,17.19,0.72,12.25
0.3,0.1,0.08,pin,C,1.58,1.07,19.01,0.68,13.83
0.4,0.33,0.08,pin,C,1.53,0.92,14.98,0.49,6.8
0.4,0.1,0.1,pin,C,1.5,0.87,20.4,0.831,14.8
0.7,0.1,0.1,pin,C,1.5,0.94,19.5,0.751,13.8
0.4,0.2,0.1,pin,C,1.5,0.96,21.3,0.787,16
0.4,0.33,10,pin,H,1.53,1.01,20.31,0.67,13.92
0.4,0.33,10,pin,H,1.53,1.03,20.43,0.68,14.35
0.7,0.33,0.1,pin,A,1.5,1.04,21.12,0.73,15.9
0.4,0.33,0.1,pin,A,1.5,1.08,22.38,0.79,19
0.55,0.74,2.25,nip,B,2.1,1.2,10.24,0.74,9.17
0.15,0.88,2.25,nip,B,2.05,1.03,9.26,0.66,6.3
0.4,0,0.464,pin,A,1.6,0.837,18.67,0.72,11.33
0.4,0.1,0.464,pin,A,1.6,0.822,17.17,0.55,10.6
0.14,0.1,0.1,pin,C,1.5,1,18.37,0.69,12.97
0.19,0.1,0.1,pin,C,1.5,1.02,19.1,0.68,13.65
0.22,0.1,0.1,pin,C,1.5,1.07,20.48,0.7,15.77
0.26,0.1,0.1,pin,C,1.5,1.06,20.08,0.69,15.02
0.26,0.1,0.1,pin,C,1.5,1.06,19.67,0.7,14.93
0.28,0.1,0.1,pin,C,1.5,1.05,19.02,0.69,14.07
0.2,0.65,0.08,nip,A,1.55,0.98,19.51,0.67,12.89
0.2,-0.03,0.08,nip,A,1.55,1.08,21.8,0.55,17.66
0.33,0.1,0.1,pin,A,1.5,0.98,19.15,0.72,13.53
0.26,0.1,0.1,pin,A,1.5,1.05,20.15,0.74,15.67
0.2,0.53,0.1,nip,C,1.53,0.94,15.94,0.69,10.51
0.4,0.33,0.1,pin,A,1.5,0.81,15.05,0.64,7.9
0.2,0.4,0.1,pin,H,1.5,1.03,22.51,0.67,16.4
0.3,0.4,0.1,pin,H,1.5,0.87,19.8,0.75,13
0.2,0.1,0.1,pin,A,1.5,0.6,6.12,0.52,1.93
0.2,0.3,0.1,pin,A,1.5,0.75,4.8,0.59,2.12
0.4,0.33,0.1,nip,H,1.53,1.03,17.7,0.56,10.2
0.4,0.43,0.1,nip,H,1.53,1.05,18.2,0.69,13.2
0.4,0.33,0.1,pin,H,1.5,0.97,16.4,0.67,10.56
0.3,0.33,0.1,pin,H,1.5,0.97,17,0.65,10.73
0.2,0.53,0.096,nip,A,1.53,0.96,18.9,0.62,11.3
0.2,0.53,0.096,nip,A,1.53,0.97,19,0.72,13.3
0.2,0.5,0.08,pin,H,1.6,1.083,21.49,0.71,16.57
0.2,0.3,0.08,pin,H,1.6,1.09,22.83,0.79,19.72
0.2,0.43,0.08,pin,H,1.6,1.3,19.71,0.73,15.86
0.1,0.3,1,pin,H,1.5,0.93,20.9,0.73,14.18
0.1,0.4,1,pin,H,1.5,0.93,19.5,0.73,13.23
0.1,0.1,1,pin,H,1.5,0.91,19.7,0.65,11.65
0.1,0.6,1,pin,H,1.5,0.91,18.1,0.65,10.82
0.2,0.43,0.12,nip,A,1.53,0.802,7.8,0.7,4.4
0.2,0.43,1.98,nip,A,1.53,0.858,14.1,0.7,4.3
0.2,0.43,7.92,nip,A,1.53,0.3,5.2,0.71,3.1
0.2,0.27,0.12,nip,A,1.45,1.08,21.98,0.67,15.29
0.2,0.27,0.12,nip,A,1.45,1.059,21.89,0.58,13.55
0.2,0.4,0.12,nip,A,1.45,1.1,23.27,0.7,18.2
0.2,0.4,0.12,nip,A,1.45,1.074,23.02,0.69,17.14
0.08,0.05,0.1,nip,H,1.55,0.99,17.7,0.71,13
0.08,0.05,0.1,nip,H,1.55,0.99,18.1,0.72,13.3
0.2,0.3,0.09,nip,E,1.5,0.99,19.4,0.57,10.8
0.2,0.22,0.09,nip,E,1.5,1,18.8,0.66,12.4
0.3,0.33,0.12,nip,E,1.6,0.909,20.61,0.71,13.41
0.3,0.33,0.48,nip,E,1.6,0.882,20.6,0.69,12.64
0.3,0.33,0.72,nip,E,1.6,0.875,20.52,0.665,11.94
0.3,0.33,1,nip,E,1.6,0.862,20.81,0.622,11.16
0.2,0.43,0.075,nip,A,1.5,1.04,19.9,0.6,15
0.2,0.43,0.075,nip,A,1.5,1.04,19.4,0.65,15.1
0.2,0.3,0.1,pin,H,1.5,0.88,17.87,0.66,10.34
0.2,0.3,0.1,nip,A,1.5,0.99,20.76,0.73,15.34
0.2,0.3,0.1,nip,A,1.5,0.99,20.4,0.63,13.23
0.4,0.33,0.16,pin,H,1.53,0.909,17.3,0.57,9
0.4,0.33,0.16,pin,H,1.53,0.516,12.2,0.31,2
0.2,0.33,0.16,pin,H,1.53,0.84,11,0.44,4.2
0.2,0.33,0.16,pin,H,1.53,0.72,5,0.3,1.2
0.2,0.43,0.1,pin,A,1.5,1.07,19.1,0.74,15.3
0.2,0.43,0.1,pin,A,1.5,1.11,21.7,0.76,18.4
0.4,0.6,0.1,pin,H,1.5,0.96,14.9,0.63,9.15
0.4,0.6,0.1,pin,H,1.5,0.83,16.7,0.69,9.29
0.4,0.33,0.11,pin,A,1.53,0.91,12.81,0.77,9.02
0.4,0.33,0.11,pin,A,1.53,0.73,13.72,0.6,6.05
0.4,0.33,0.11,pin,A,1.53,0.91,14.85,0.48,6.7
0.4,0.43,0.1,nip,A,1.5,1.05,20.8,0.69,15.1
0.4,0.43,0.1,nip,A,1.5,1.07,22.5,0.7,16.8
0.4,0.6,0.0756,pin,H,1.53,0.96,22.45,0.79,17.03
0.2,0.7,0.0708,nip,H,1.5,0.96,12,0.66,7.8
0.2,0.7,0.0708,nip,H,1.5,0.8,15,0.6,7.6
0.2,0.1,0.1,nip,A,1.53,1.1,21.78,0.8,19.31
0.2,0.1,0.1,nip,A,1.53,1.1,21.71,0.79,19.13
0.2,0.33,0.06,pin,A,1.5,0.9,18.84,0.63,10.69
0.2,0.33,0.06,nip,H,1.55,0.88,12.44,0.49,5.55
0.4,0.33,0.04,pin,C,1.53,0.95,16.17,0.71,10.94
0.2,0.33,0.04,pin,C,1.53,0.99,17.81,0.76,13.58
0.4,0.33,0.04,pin,C,1.53,1.006,18.17,0.76,14.01
0.2,0.4,0.09,nip,E,1.5,0.71,15.7,0.51,6.2
0.2,0.53,0.09,nip,E,1.5,1.01,17.1,0.64,11
0.3,0.4,0.05,pin,E,1.5,0.8,19.35,0.73,11.9
0.05,0.4,0.05,pin,E,1.5,0.88,20.2,0.72,12.8
0.11,0.4,0.05,pin,E,1.5,0.9,20.8,0.74,13.85
0.02,0.4,0.05,pin,E,1.5,0.87,20.71,0.69,12.43
-0.13,0.4,0.05,pin,E,1.5,0.89,20.1,0.73,13.06
0.2,0.4,0.05,pin,E,1.5,0.86,18.22,0.58,9.09
0.4,0.33,0.1,pin,A,1.5,0.88,17.5,0.67,10.4
0.3,0.33,0.286,pin,H,1.53,1.11,19.1,0.75,16.1
0.3,0.53,0.213,pin,H,1.53,0.696,35.6,0.77,19.2
0.3,0.33,0.286,pin,H,1.53,0.453,12.1,0.73,22
0.3,0.53,0.213,pin,H,1.53,0.428,15.3,0.73,13
0.2,0.1,0.1,nip,A,1.5,1.1,22.06,0.75,18.38
0.2,0.1,0.1,nip,A,1.5,1.1,22.09,0.74,18.01
0.4,0.53,1,nip,E,1.6,0.93,18.17,0.65,11.12
0.2,0.4,0.09,pin,E,1.5,1.03,20,0.66,13.7
0.4,0.33,0.0177,pin,H,1.53,0.99,21.6,0.83,17.8
0.4,0.33,0.0177,pin,H,1.53,0.96,20.1,0.83,16
0.2,0.6,0.1,pin,A,1.5,1.01,19.8,0.77,15.59
0.4,0.33,0.1,pin,A,1.5,0.83,14.7,0.61,7.62
0.4,0.33,0.1,pin,A,1.53,0.96,16.73,0.65,10.71
0.4,0.33,0.1,pin,A,1.53,0.98,16.85,0.73,11.32
